40.498060701	1,value
40.49876753	24,value
40.498905363	23,value
40.498957012	9,value
40.499142788	3,value
40.499228792	6,value
40.4993236	11,value
40.499400832	6,value
40.499486862	1,value
40.499652024	8,value
40.49966718	5,value
40.499758708	2,value
40.499850235	1,value
40.499941761	7,value
40.499947543	10,value
40.500033284	1,value
40.50005352	8,value
40.500124805	2,value
40.500215976	16,value
40.500390768	47,value
40.500425539	6,value
40.500562792	11,value
40.500628514	3,value
40.500667568	1,value
40.5007376	24,value
40.500745242	2,value
40.500773188	4,value
40.50089207	5,value
40.500917922	31,value
40.501027534	8,value
40.50110098	45,value
40.501210006	2,value
40.50128128	21,value
40.50128895	2,value
40.501299998	1,value
40.501342919	1,value
40.501380569	5,value
40.501464332	40,value
40.501472193	2,value
40.501513692	1,value
40.501576617	2,value
40.501638753	1,value
40.501761594	15,value
40.501808044	1,value
40.501832306	1,value
40.501840908	4,value
40.501927704	1,value
40.501982238	35,value
40.501985585	2,value
40.50199631	6,value
40.502044133	4,value
40.502130121	29,value
40.502162562	9,value
40.502168663	2,value
40.502181016	22,value
40.502257442	3,value
40.502342893	18,value
40.502343097	2,value
40.502348972	5,value
40.502353019	19,value
40.502378534	1,value
40.502384488	6,value
40.50241652	2,value
40.5024405	1,value
40.50244321	9,value
40.502515923	1,value
40.50252321	15,value
40.502529282	1,value
40.502540811	1,value
40.502597013	4,value
40.50270918	31,value
40.502766783	12,value
40.502783638	14,value
40.50281894	1,value
40.502833557	6,value
40.502847521	1,value
40.502874162	1,value
40.502881248	26,value
40.502886221	3,value
40.502945123	2,value
40.502969486	1,value
40.502980594	3,value
40.503053286	19,value
40.503080704	1,value
40.503126492	3,value
40.503177034	7,value
40.503177662	10,value
40.503219225	2,value
40.503230733	5,value
40.503230831	27,value
40.503236546	3,value
40.503308012	1,value
40.503413911	18,value
40.503508596	1,value
40.503530913	14,value
40.503533605	1,value
40.503563784	5,value
40.503577134	3,value
40.503594225	25,value
40.50360863	1,value
40.503620226	1,value
40.503669855	1,value
40.503671451	2,value
40.503765758	3,value
40.503770236	8,value
40.503774531	30,value
40.503826793	1,value
40.503836572	3,value
40.503857342	2,value
40.503920042	8,value
40.503923143	16,value
40.503948916	1,value
40.504035586	4,value
40.504050861	2,value
40.504084023	2,value
40.504123748	3,value
40.504237603	9,value
40.504268564	6,value
40.504298527	2,value
40.504319356	2,value
40.50434519	5,value
40.504382162	13,value
40.504387302	7,value
40.504459361	16,value
40.504478813	2,value
40.504535083	12,value
40.504620153	7,value
40.504659159	1,value
40.504742072	11,value
40.504789551	5,value
40.504839467	7,value
40.504849807	12,value
40.504922905	9,value
40.504931	7,value
40.504966287	7,value
40.504982213	4,value
40.505019785	1,value
40.50503842	19,value
40.505069682	1,value
40.50513628	3,value
40.505146593	4,value
40.505202877	2,value
40.505218836	9,value
40.505277806	1,value
40.505369269	7,value
40.505396409	27,value
40.505522758	1,value
40.505535647	13,value
40.505571199	11,value
40.505683882	1,value
40.50570674	5,value
40.505751495	17,value
40.505768073	1,value
40.505769111	14,value
40.505865686	11,value
40.505915337	6,value
40.505931838	23,value
40.505952138	3,value
40.506066607	1,value
40.506109397	24,value
40.506133788	6,value
40.506195693	17,value
40.506215904	26,value
40.506274884	1,value
40.506276887	9,value
40.50630527	1,value
40.506330467	7,value
40.506399922	1,value
40.506413945	2,value
40.506417454	6,value
40.506510784	5,value
40.506517926	2,value
40.506568635	7,value
40.506572873	2,value
40.506574063	2,value
40.506599016	21,value
40.506666324	2,value
40.506700236	1,value
40.506729342	13,value
40.506764864	6,value
40.506781291	11,value
40.506787886	2,value
40.506838489	4,value
40.506843862	2,value
40.506882386	9,value
40.506890077	1,value
40.506905622	2,value
40.506926813	2,value
40.506932647	3,value
40.507011825	2,value
40.507038491	1,value
40.507061785	12,value
40.507115719	3,value
40.50712107	5,value
40.507162348	3,value
40.507204515	1,value
40.507218815	1,value
40.507248825	1,value
40.507255232	4,value
40.507255725	1,value
40.507261965	17,value
40.507263506	3,value
40.507277733	3,value
40.507290455	20,value
40.507336391	3,value
40.507379318	10,value
40.507403584	1,value
40.507428312	5,value
40.507462595	2,value
40.507487632	3,value
40.507592029	5,value
40.507606255	2,value
40.50761311	15,value
40.507648965	18,value
40.507658931	4,value
40.507663233	4,value
40.507664989	2,value
40.507667993	1,value
40.507699384	3,value
40.507709238	1,value
40.507724807	15,value
40.507734186	7,value
40.50773711	22,value
40.507750107	7,value
40.507791666	1,value
40.507859443	27,value
40.507889434	10,value
40.507916094	6,value
40.507953343	3,value
40.507965843	4,value
40.507966271	28,value
40.507981532	17,value
40.507983792	6,value
40.508011534	13,value
40.508075381	55,value
40.508123861	11,value
40.508159235	11,value
40.50816497	3,value
40.508208525	2,value
40.508254262	17,value
40.508299655	30,value
40.508302939	6,value
40.508355731	3,value
40.508402294	2,value
40.508422059	3,value
40.508463604	5,value
40.508485923	1,value
40.50850801	1,value
40.508524762	1,value
40.508558338	13,value
40.508566723	6,value
40.508574742	17,value
40.508579675	2,value
40.508607922	19,value
40.508608657	4,value
40.508650547	3,value
40.508651569	6,value
40.508659388	6,value
40.508660539	15,value
40.508684928	1,value
40.508723455	2,value
40.508741897	1,value
40.508751711	2,value
40.508761762	188,value
40.50876769	7,value
40.508774796	4,value
40.50879877	4,value
40.508808503	4,value
40.508809181	2,value
40.508821556	30,value
40.508831531	17,value
40.50887387	13,value
40.508930868	2,value
40.509005414	13,value
40.509052561	23,value
40.509058577	9,value
40.50906595	6,value
40.509073438	5,value
40.509133422	1,value
40.50915245	1,value
40.509174394	2,value
40.509179726	18,value
40.509188973	3,value
40.509236745	1,value
40.509241747	6,value
40.509250037	11,value
40.509268841	4,value
40.509271249	26,value
40.509274397	1,value
40.509279251	3,value
40.509297824	2,value
40.509298625	2,value
40.509304153	5,value
40.509304912	3,value
40.509310732	6,value
40.509315748	9,value
40.509323826	28,value
40.509324862	2,value
40.509367603	34,value
40.509418308	9,value
40.509418691	2,value
40.509421261	1,value
40.509428541	16,value
40.509472154	4,value
40.509522492	1,value
40.509523575	1,value
40.509524701	12,value
40.509550173	2,value
40.509588765	3,value
40.509594884	1,value
40.509630326	3,value
40.509670906	14,value
40.509673664	27,value
40.509682643	4,value
40.509756727	13,value
40.509815562	34,value
40.509825799	4,value
40.509854605	2,value
40.509923388	1,value
40.509939571	3,value
40.509952748	79,value
40.509992749	4,value
40.509998853	9,value
40.510000795	23,value
40.510060092	4,value
40.510104474	18,value
40.510125546	14,value
40.510128937	19,value
40.510145569	3,value
40.510166535	10,value
40.510221625	3,value
40.510235385	39,value
40.510248399	4,value
40.510291827	18,value
40.510317188	19,value
40.51037232	8,value
40.510454605	4,value
40.510482604	7,value
40.510496675	2,value
40.510505792	10,value
40.510519295	3,value
40.510526312	21,value
40.510545347	10,value
40.510560642	2,value
40.510601981	5,value
40.510622855	2,value
40.510639626	2,value
40.510668738	15,value
40.510669958	6,value
40.510712229	20,value
40.510713855	9,value
40.510720183	1,value
40.51075546	1,value
40.510825222	10,value
40.510848578	1,value
40.510878368	8,value
40.510880126	27,value
40.510932558	2,value
40.510948906	5,value
40.510954502	1,value
40.511013149	20,value
40.511057811	7,value
40.511068352	2,value
40.511078716	4,value
40.51108213	7,value
40.511108767	2,value
40.511161556	87,value
40.511271996	2,value
40.511284398	4,value
40.511333271	26,value
40.511348318	19,value
40.511368947	6,value
40.511375949	7,value
40.511379428	7,value
40.51143694	18,value
40.51143976	8,value
40.511461196	60,value
40.51150064	11,value
40.511559073	11,value
40.511586076	13,value
40.511586338	241,value
40.511668775	7,value
40.511675663	4,value
40.51170186	3,value
40.51171984	6,value
40.511743787	26,value
40.511746461	1,value
40.51175382	53,value
40.511798056	6,value
40.511812076	58,value
40.511818094	3,value
40.511861866	1,value
40.511886989	2,value
40.511910798	2,value
40.511955385	3,value
40.512011473	1,value
40.512038254	15,value
40.512047943	4,value
40.512076318	5,value
40.512081154	1,value
40.512089537	36,value
40.512103747	13,value
40.512113598	4,value
40.512143538	2,value
40.512173542	30,value
40.512205981	8,value
40.512248005	2,value
40.512354578	4,value
40.512355721	4,value
40.512402941	1,value
40.512410796	24,value
40.5124601	15,value
40.512482643	10,value
40.512495129	4,value
40.512530939	3,value
40.512546846	5,value
40.512585381	2,value
40.512609954	8,value
40.512621173	9,value
40.512623407	18,value
40.512682419	2,value
40.512701908	3,value
40.512713952	27,value
40.512717567	3,value
40.512747709	35,value
40.512762153	5,value
40.512784153	18,value
40.512825385	7,value
40.512829016	1,value
40.51285	2,value
40.512890808	3,value
40.512975496	6,value
40.512990623	1,value
40.512995572	2,value
40.513009976	16,value
40.513032939	1,value
40.513084335	1,value
40.513100342	6,value
40.513122042	1,value
40.513131205	8,value
40.513208921	4,value
40.513211699	16,value
40.513229837	9,value
40.513232903	18,value
40.51324898	10,value
40.513274347	7,value
40.513312434	9,value
40.513332003	5,value
40.513339944	1,value
40.513348455	19,value
40.513362603	27,value
40.513385497	2,value
40.513401396	10,value
40.513425614	19,value
40.513456481	2,value
40.513475184	1,value
40.513484538	1,value
40.513522062	7,value
40.513538588	4,value
40.513560534	15,value
40.513586762	2,value
40.513596576	1,value
40.51362952	14,value
40.513646099	1,value
40.513648896	9,value
40.513657864	12,value
40.513670351	6,value
40.513684781	3,value
40.513701397	60,value
40.513703932	4,value
40.513731609	4,value
40.513760381	7,value
40.513770242	6,value
40.513775216	5,value
40.513812611	1,value
40.513830748	2,value
40.513864138	3,value
40.513883058	1,value
40.513907843	29,value
40.513929426	18,value
40.514045683	5,value
40.514064557	2,value
40.514067893	3,value
40.514091649	25,value
40.514172338	12,value
40.514211052	4,value
40.514223321	3,value
40.514225815	20,value
40.514245578	14,value
40.514264972	27,value
40.514304759	20,value
40.514370621	2,value
40.514395716	13,value
40.514415431	1,value
40.5144221	11,value
40.514438931	2,value
40.514508309	11,value
40.514530135	2,value
40.514565104	13,value
40.514578155	5,value
40.514623249	1,value
40.514627115	8,value
40.514643251	1,value
40.514644606	31,value
40.514668031	5,value
40.514671534	2,value
40.514675477	2,value
40.514719133	6,value
40.514720367	4,value
40.514728936	17,value
40.514753282	10,value
40.514784651	1,value
40.514787842	1,value
40.514788647	45,value
40.514814763	17,value
40.514828703	5,value
40.514898615	11,value
40.514905543	3,value
40.5149214	8,value
40.514921815	41,value
40.514976776	1,value
40.514978102	25,value
40.514997836	1,value
40.515059409	2,value
40.515073983	26,value
40.515113205	2,value
40.515122432	13,value
40.515127262	1,value
40.51513529	11,value
40.515171186	1,value
40.515191285	6,value
40.515202942	28,value
40.515204583	1,value
40.515210265	4,value
40.515270427	2,value
40.515304181	28,value
40.515315785	59,value
40.515366236	3,value
40.515426323	2,value
40.515430265	1,value
40.515477384	4,value
40.515485928	15,value
40.51550333	3,value
40.51551161	4,value
40.515516504	16,value
40.51555709	2,value
40.515577021	3,value
40.515612762	27,value
40.515616199	8,value
40.515632497	15,value
40.515640347	5,value
40.515663894	2,value
40.515681572	1,value
40.515697544	1,value
40.515703478	61,value
40.515704745	8,value
40.515745155	1,value
40.515747963	7,value
40.515765585	10,value
40.515769148	2,value
40.51577747	4,value
40.515779065	1,value
40.51578389	1,value
40.515784601	2,value
40.515801393	2,value
40.515821643	6,value
40.515833768	11,value
40.515848435	2,value
40.515909698	13,value
40.515934586	3,value
40.515940514	8,value
40.515968313	3,value
40.51598092	3,value
40.516000593	1,value
40.516014579	2,value
40.516015072	2,value
40.516048213	15,value
40.516077297	2,value
40.516106768	2,value
40.516113182	1,value
40.516156726	1,value
40.516158065	17,value
40.516173965	3,value
40.516217265	3,value
40.516250074	7,value
40.516263519	1,value
40.516266293	1,value
40.516306741	5,value
40.516344801	45,value
40.516354014	1,value
40.516399954	8,value
40.516427614	36,value
40.516442002	1,value
40.516444487	1,value
40.516500663	1,value
40.516513081	15,value
40.516534737	1,value
40.51654424	1,value
40.516579523	155,value
40.516603338	12,value
40.516605699	8,value
40.516632366	14,value
40.516639373	3,value
40.516694218	15,value
40.516778216	87,value
40.516798649	1,value
40.516857374	5,value
40.516859129	1,value
40.516873619	1,value
40.516881803	1,value
40.516899053	18,value
40.5169024	1,value
40.516915716	3,value
40.516921624	32,value
40.516941783	1,value
40.516982949	10,value
40.516997921	2,value
40.51709687	15,value
40.517102961	8,value
40.517149843	3,value
40.517200213	29,value
40.517219183	4,value
40.517224862	6,value
40.517263463	5,value
40.517270837	3,value
40.51728641	161,value
40.517408327	1,value
40.517420407	17,value
