-73.700315857	5,value
-73.700493391	3,value
-73.700564255	7,value
-73.700576511	2,value
-73.700716685	42,value
-73.700793345	4,value
-73.700838772	1,value
-73.700904684	4,value
-73.7009566	19,value
-73.70098488	6,value
-73.701178496	16,value
-73.701193948	12,value
-73.701250563	2,value
-73.701323618	11,value
-73.701386377	15,value
-73.701394417	8,value
-73.701497398	1,value
-73.701606114	12,value
-73.701612302	5,value
-73.701617215	3,value
-73.701665963	2,value
-73.701739432	3,value
-73.701749946	8,value
-73.701759785	1,value
-73.701834193	4,value
-73.701861784	8,value
-73.701905924	42,value
-73.701913121	5,value
-73.701972342	10,value
-73.70198148	1,value
-73.702043913	15,value
-73.702112426	1,value
-73.702128322	7,value
-73.702130534	1,value
-73.70217577	4,value
-73.702178216	3,value
-73.702185676	1,value
-73.702186003	2,value
-73.7022302	2,value
-73.702248276	7,value
-73.702313127	6,value
-73.702324254	13,value
-73.702375454	11,value
-73.702394271	1,value
-73.702433029	3,value
-73.70251379	2,value
-73.702515495	3,value
-73.702535127	13,value
-73.702583052	23,value
-73.70258706	1,value
-73.702622514	4,value
-73.702637212	3,value
-73.702712958	4,value
-73.702757116	11,value
-73.702837798	5,value
-73.702845858	8,value
-73.702872182	11,value
-73.702884233	1,value
-73.702968618	9,value
-73.702972914	12,value
-73.703000439	7,value
-73.703045807	2,value
-73.703078435	3,value
-73.703088758	1,value
-73.703096369	3,value
-73.703172964	10,value
-73.703175606	1,value
-73.703188066	4,value
-73.703216262	3,value
-73.703285683	8,value
-73.703301294	12,value
-73.70333615	1,value
-73.703346592	1,value
-73.703418265	2,value
-73.703418476	11,value
-73.703438234	7,value
-73.703486517	3,value
-73.703495921	1,value
-73.703547941	1,value
-73.70357316	2,value
-73.703591806	10,value
-73.703611662	4,value
-73.703678237	23,value
-73.703693433	3,value
-73.703737185	4,value
-73.703749016	1,value
-73.70380895	1,value
-73.703825001	3,value
-73.703866625	1,value
-73.703876071	5,value
-73.703886126	10,value
-73.703959667	1,value
-73.704009904	2,value
-73.704051796	3,value
-73.704072374	5,value
-73.704097251	12,value
-73.704119378	2,value
-73.704188687	3,value
-73.704222929	1,value
-73.704237253	1,value
-73.704311642	4,value
-73.704326301	2,value
-73.704359392	6,value
-73.704411182	1,value
-73.704436915	5,value
