01/24/2010	1180,value
01/24/2011	1096,value
01/24/2012	1608,value
01/24/2013	1207,value
01/24/2014	1273,value
01/24/2015	1059,value
01/25/2006	1619,value
01/25/2007	1489,value
01/25/2008	1458,value
01/25/2009	1038,value
01/25/2010	1241,value
01/25/2011	1362,value
01/25/2012	1506,value
01/25/2013	1259,value
01/25/2014	1205,value
01/25/2015	1081,value
01/26/2006	1507,value
01/26/2007	1229,value
01/26/2008	1335,value
01/26/2009	1304,value
01/26/2010	1537,value
01/26/2011	1161,value
01/26/2012	1485,value
01/26/2013	1215,value
01/26/2014	1088,value
01/26/2015	855,value
01/27/2006	1420,value
01/27/2007	1302,value
01/27/2008	1203,value
01/27/2009	1442,value
01/27/2010	1501,value
01/27/2011	864,value
01/27/2012	1493,value
01/27/2013	1068,value
01/27/2014	1248,value
01/27/2015	741,value
01/28/2006	1299,value
01/28/2007	1290,value
01/28/2008	1391,value
01/28/2009	1182,value
01/28/2010	1353,value
01/28/2011	1207,value
01/28/2012	1441,value
01/28/2013	1174,value
01/28/2014	1325,value
01/28/2015	1153,value
01/29/2006	1197,value
01/29/2007	1333,value
01/29/2008	1485,value
01/29/2009	1404,value
01/29/2010	1320,value
01/29/2011	1220,value
01/29/2012	1159,value
01/29/2013	1360,value
01/29/2014	1279,value
01/29/2015	1159,value
01/30/2006	1557,value
01/30/2007	1412,value
01/30/2008	1454,value
01/30/2009	1431,value
01/30/2010	1150,value
01/30/2011	1022,value
01/30/2012	1307,value
01/30/2013	1394,value
01/30/2014	1296,value
01/30/2015	1159,value
01/31/2006	1417,value
01/31/2007	1419,value
01/31/2008	1518,value
01/31/2009	1243,value
01/31/2010	1032,value
01/31/2011	1168,value
01/31/2012	1543,value
01/31/2013	1431,value
01/31/2014	1367,value
01/31/2015	1062,value
02/01/2006	1562,value
02/01/2007	1484,value
02/01/2008	1340,value
02/01/2009	1109,value
02/01/2010	1281,value
02/01/2011	1222,value
02/01/2012	1596,value
02/01/2013	1440,value
02/01/2014	1332,value
02/01/2015	991,value
02/02/2006	1604,value
02/02/2007	1462,value
02/02/2008	1403,value
02/02/2009	1397,value
02/02/2010	1453,value
02/02/2011	1174,value
02/02/2012	1535,value
02/02/2013	1272,value
02/02/2014	1237,value
02/02/2015	893,value
02/03/2006	1536,value
02/03/2007	1226,value
02/03/2008	1267,value
02/03/2009	1205,value
02/03/2010	1423,value
02/03/2011	1358,value
02/03/2012	1423,value
02/03/2013	975,value
02/03/2014	1105,value
02/03/2015	993,value
02/04/2006	1335,value
02/04/2007	1018,value
02/04/2008	1419,value
02/04/2009	1370,value
02/04/2010	1402,value
02/04/2011	1329,value
02/04/2012	1388,value
02/04/2013	1193,value
02/04/2014	1300,value
02/04/2015	1270,value
02/05/2006	1139,value
02/05/2007	1234,value
02/05/2008	1507,value
02/05/2009	1285,value
02/05/2010	1526,value
02/05/2011	1264,value
02/05/2012	1034,value
02/05/2013	1343,value
02/05/2014	1105,value
02/05/2015	1232,value
02/06/2006	1528,value
02/06/2007	1328,value
02/06/2008	1642,value
02/06/2009	1355,value
02/06/2010	1251,value
02/06/2011	978,value
02/06/2012	1345,value
02/06/2013	1428,value
02/06/2014	1259,value
02/06/2015	1198,value
02/07/2006	1582,value
02/07/2007	1491,value
02/07/2008	1552,value
02/07/2009	1279,value
02/07/2010	1008,value
02/07/2011	1347,value
02/07/2012	1459,value
02/07/2013	1313,value
02/07/2014	1389,value
02/07/2015	1098,value
02/08/2006	1547,value
02/08/2007	1448,value
02/08/2008	1563,value
02/08/2009	1076,value
02/08/2010	1239,value
02/08/2011	1377,value
02/08/2012	1471,value
02/08/2013	1041,value
02/08/2014	1230,value
02/08/2015	1053,value
02/09/2006	1495,value
02/09/2007	1406,value
02/09/2008	1387,value
02/09/2009	1331,value
02/09/2010	1306,value
02/09/2011	1338,value
02/09/2012	1465,value
02/09/2013	879,value
02/09/2014	1112,value
02/09/2015	1084,value
02/10/2006	1474,value
02/10/2007	1258,value
02/10/2008	1169,value
02/10/2009	1467,value
02/10/2010	740,value
02/10/2011	1470,value
02/10/2012	1528,value
02/10/2013	969,value
02/10/2014	1219,value
02/10/2015	1197,value
02/11/2006	1284,value
02/11/2007	1137,value
02/11/2008	1199,value
02/11/2009	1595,value
02/11/2010	1214,value
02/11/2011	1463,value
02/11/2012	1305,value
02/11/2013	1137,value
02/11/2014	1263,value
02/11/2015	1307,value
02/12/2006	612,value
02/12/2007	1410,value
02/12/2008	1235,value
02/12/2009	1536,value
02/12/2010	1306,value
02/12/2011	1353,value
02/12/2012	1049,value
02/12/2013	1493,value
02/12/2014	1358,value
02/12/2015	1295,value
02/13/2006	1093,value
02/13/2007	1478,value
02/13/2008	1266,value
02/13/2009	1493,value
02/13/2010	1258,value
02/13/2011	1146,value
02/13/2012	1354,value
02/13/2013	1432,value
02/13/2014	898,value
02/13/2015	1107,value
02/14/2006	1311,value
02/14/2007	978,value
02/14/2008	1352,value
02/14/2009	1227,value
02/14/2010	941,value
02/14/2011	1208,value
02/14/2012	1273,value
02/14/2013	1345,value
02/14/2014	1057,value
02/14/2015	1109,value
02/15/2006	1550,value
02/15/2007	1188,value
02/15/2008	1593,value
02/15/2009	1090,value
02/15/2010	965,value
02/15/2011	1439,value
02/15/2012	1495,value
02/15/2013	1475,value
02/15/2014	1157,value
02/15/2015	965,value
02/16/2006	1636,value
02/16/2007	1327,value
02/16/2008	1372,value
02/16/2009	1164,value
02/16/2010	1120,value
02/16/2011	1537,value
02/16/2012	1477,value
02/16/2013	1307,value
02/16/2014	1011,value
02/16/2015	997,value
02/17/2006	1609,value
02/17/2007	1163,value
02/17/2008	1114,value
02/17/2009	1351,value
02/17/2010	1279,value
02/17/2011	1570,value
02/17/2012	1526,value
02/17/2013	1071,value
02/17/2014	1060,value
02/17/2015	1117,value
02/18/2006	1235,value
02/18/2007	1110,value
02/18/2008	1193,value
02/18/2009	1333,value
02/18/2010	1384,value
02/18/2011	1533,value
02/18/2012	1338,value
02/18/2013	1102,value
02/18/2014	1271,value
02/18/2015	1232,value
02/19/2006	1065,value
02/19/2007	1137,value
02/19/2008	1478,value
02/19/2009	1404,value
02/19/2010	1391,value
02/19/2011	1304,value
02/19/2012	1113,value
02/19/2013	1227,value
02/19/2014	1226,value
02/19/2015	1127,value
02/20/2006	1259,value
02/20/2007	1572,value
02/20/2008	1485,value
02/20/2009	1398,value
02/20/2010	1321,value
02/20/2011	1049,value
02/20/2012	1147,value
02/20/2013	1340,value
02/20/2014	1379,value
02/20/2015	1103,value
02/21/2006	1504,value
02/21/2007	1518,value
02/21/2008	1450,value
02/21/2009	1318,value
02/21/2010	1179,value
02/21/2011	1090,value
02/21/2012	1298,value
02/21/2013	1403,value
02/21/2014	1366,value
02/21/2015	1086,value
02/22/2006	1500,value
02/22/2007	1415,value
02/22/2008	1121,value
02/22/2009	1098,value
02/22/2010	1285,value
02/22/2011	1335,value
02/22/2012	1448,value
02/22/2013	1383,value
02/22/2014	1423,value
02/22/2015	945,value
02/23/2006	1467,value
02/23/2007	1329,value
02/23/2008	1227,value
02/23/2009	1264,value
02/23/2010	1256,value
02/23/2011	1318,value
02/23/2012	1346,value
02/23/2013	1250,value
02/23/2014	1240,value
02/23/2015	1155,value
02/24/2006	1299,value
02/24/2007	1292,value
02/24/2008	1129,value
02/24/2009	1481,value
02/24/2010	1479,value
02/24/2011	1328,value
02/24/2012	1261,value
02/24/2013	1181,value
02/24/2014	1252,value
02/24/2015	1094,value
02/25/2006	1230,value
02/25/2007	1153,value
02/25/2008	1361,value
02/25/2009	1533,value
02/25/2010	1109,value
02/25/2011	1276,value
02/25/2012	1253,value
02/25/2013	1262,value
02/25/2014	1385,value
02/25/2015	1273,value
02/26/2006	1045,value
02/26/2007	1347,value
02/26/2008	1429,value
02/26/2009	1552,value
02/26/2010	788,value
02/26/2011	1284,value
02/26/2012	1131,value
02/26/2013	1352,value
02/26/2014	1250,value
02/26/2015	1243,value
02/27/2006	1347,value
02/27/2007	1508,value
