CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
665290803,12/27/2015,18:00:00,12/28/2015,09:15:00,12/28/2015,109,GRAND LARCENY,457,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,,STREET,,,1000833,242427,40.832074193,-73.940076927,"(40.832074193, -73.940076927)"
157487163,12/27/2015,18:00:00,12/28/2015,07:55:00,12/28/2015,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,107,FRONT OF,STREET,,,1036162,203943,40.726309023,-73.812709221,"(40.726309023, -73.812709221)"
546201373,12/27/2015,18:00:00,12/28/2015,16:00:00,12/28/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,104,FRONT OF,STREET,,,1013345,197655,40.709154455,-73.895057269,"(40.709154455, -73.895057269)"
715440142,12/27/2015,18:00:00,12/28/2015,13:15:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,72,,STREET,,,981189,172801,40.640983114,-74.011031031,"(40.640983114, -74.011031031)"
702401667,12/27/2015,18:00:00,12/28/2015,14:10:00,12/28/2015,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1004500,250318,40.85372503,-73.926801992,"(40.85372503, -73.926801992)"
949430444,12/27/2015,18:00:00,12/28/2015,16:40:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,STREET,,,980946,172495,40.640143122,-74.011906473,"(40.640143122, -74.011906473)"
555200945,12/27/2015,18:00:00,12/28/2015,02:30:00,12/28/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9,,STREET,,,990986,204681,40.728484408,-73.975697998,"(40.728484408, -73.975697998)"
349217670,12/27/2015,18:00:00,12/27/2015,18:30:00,12/28/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,OTHER,,,993040,215159,40.757242104,-73.968273486,"(40.757242104, -73.968273486)"
751628015,12/27/2015,18:00:00,,,12/28/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,INSIDE,DEPARTMENT STORE,,,1020829,206894,40.73448548,-73.868012689,"(40.73448548, -73.868012689)"
117709602,12/27/2015,17:45:00,12/27/2015,18:15:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,FRONT OF,STREET,,,989000,206097,40.732372271,-73.982862475,"(40.732372271, -73.982862475)"
912917687,12/27/2015,17:30:00,12/27/2015,17:31:00,12/28/2015,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1007668,237200,40.81771209,-73.915396145,"(40.81771209, -73.915396145)"
488025944,12/27/2015,17:30:00,12/28/2015,10:30:00,12/28/2015,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESIDENCE - APT. HOUSE,,,1004654,219111,40.768070153,-73.926340169,"(40.768070153, -73.926340169)"
663202278,12/27/2015,17:10:00,12/27/2015,17:15:00,12/28/2015,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,SMALL MERCHANT,,,986154,203836,40.726167447,-73.993132065,"(40.726167447, -73.993132065)"
108529345,12/27/2015,17:00:00,12/28/2015,14:00:00,12/28/2015,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,78,INSIDE,RESTAURANT/DINER,,,989410,181599,40.665130737,-73.981401876,"(40.665130737, -73.981401876)"
271462863,12/27/2015,17:00:00,12/28/2015,16:30:00,12/28/2015,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,111,INSIDE,STREET,,,1043052,216986,40.762065581,-73.787736997,"(40.762065581, -73.787736997)"
835020302,12/27/2015,17:00:00,12/28/2015,17:00:00,12/28/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,CHAIN STORE,,,1020754,176732,40.651698159,-73.868446756,"(40.651698159, -73.868446756)"
